Suppliers,Candy,Status
Koppers,Amaretto Cordials.doc,done
Gustafs,Anise Bears.doc,done
Trolli,Apple _ Peach O_s.doc,done
Koppers,Apricot Brandy Cordials.doc,sent to e-mail
Reimers,Assorted Almond Clusters.doc,
Celebration,Assorted Bubble Gum Balls.doc,done
Celebration,Assorted Bubblegum Balls - 1 Pound.doc,done
Concord Confections,Assorted Candy Blocks half lb.doc,done
Concord Confections,Assorted Candy Blocks.doc,done
Dryden & Palmer,Assorted Crystal Rock Candy.doc,done
Koppers,Assorted Espresso Beans.doc,Photo sent
Gustaf's Rainbow Laces,assorted fruit Laces.doc,done
Nassau Candies,Assorted Fruit Slices.docx,cant find
Jelly Belly,Assorted Fruit Sours.doc,done
Jelly Belly,Assorted jelly belly beans.doc,done
Sconza,Assorted Jordan Almonds.doc,done
Swedish Fish Brand,Assorted Mini Swedish Fish.doc,done
,Assorted Nonpareil Mints.doc,
,Assorted Pillow Mints.doc,e-mailed
Taffy Town,Assorted Salt Water Taffy 1 Pound.doc,done
Taffy Town - 15 flavor Assortment,Assorted Salt Water Taffy Half Pound.doc,done
Napoleon,Assorted Sour Napoleons.doc,done
Dorval,Assorted Sour Power Belts.doc,done
,Assorted Swedish Fish.doc,e-mailed
Taffy Town,Assorted Tropical Fruit Taffy.doc,done
Atomic Fireball,Atomic Fire Balls.doc,done
"Ginger, Sugar",Australian Candied Ginger.doc,done
Jelly Belly,Autumn Deluxe Mix.doc,Ingredients Unavailable by Jelly Belly
Taffy Town,Berries _n Cream Taffy.doc,done
Sconza,Big Bruiser Jawbreaker.doc,done
,Bit O Honey.doc,look up online
Kenny's,Black  Licorice Laces.doc,done
Kenny's,Black Juicy Twists.doc,done
disc.,Black Licorice Buttons.doc,
Gustaff - photo sent,Black Licorice Caramels.doc,done
sent by photo KATJES,Black Licorice Cats.doc,
Gimbals,Black Licorice Chews.doc,done
Jelly Belly,Black Licorice Jelly Bellys.doc,done
Marich,Black Licorice Soft Buttons.doc,done
Haribo,Black Licorice Wheels (Haribo).doc,done
,Blank Candy Labels.doc,
Kenny's,Blue Raspberry Juicy Twists.doc,done
Sconza,Boston Baked Beans.doc,done
DUP see assorted Gumballs,Bubble Gum 1lb.doc,e-mailed
DUP see assorted Gumballs,Bubble Gumballs half pound.doc,e-mailed
Jelly Belly,Candy Corn.doc,
Sweet Candies,Candy Pebbles.doc,
Marich,Cappuccino Almonds.doc,
Taffy Town,Caramel Apple Taffy.doc,
Taffy Town,Caramel Swirl Taffy.doc,
Koppers,Chai Tea Cordials.doc,
Madeleine,Chanukah Coins-half pound.doc,sent to e-mail
Madeleine,Chanukah Coins.doc,
Gimbals,Cherry Chews.doc,
,Cherry Hearts.doc,
Kenny's Licorice,Cherry Juicy Twists.doc,
Jelly Belly,Cherry Sours.doc,
,Chocolate Bridge Mix.doc,
Taffy Town,Chocolate Chip Taffy Half Pound.doc,E-mailed
Koppers,Chocolate Coffee Beans.doc,
,Chocolate Cookie Dough Bites.doc,
,Chocolate Covered Pretzels.doc,
,Chocolate Gold Coins half pound.doc,
Madeleine,Chocolate Gold Coins.doc,
Koppers,Chocolate Gummi Bears.doc,e-mailed
Jelly Belly,Chocolate Jordan Almonds.doc,
Kenny's Licorice,Chocolate Juicy Twists.doc,
Nassau,Chocolate Malt Balls.doc,
Kimmi,Chocolate River Rocks.doc,e-mailed
Gimbals,Christmas Super Sour Stars (Gimbals).doc,
Sweets,Cinnamon Bears.doc,
Claey's,Cinnamon Drops.doc,
,cinnamon gummi hearts.doc,
,Cinnamon Imperials.doc,
,Cinnamon Nonpareil Hearts.doc,
,Cinnamon Santas.doc,
,Cinnamon Swirl Taffy.doc,
,Coffee Buttons (Peerless).doc,
Delete,Coffee Cup Taffy.doc,
Coffeego,Coffee Go Candies.doc,e-mailed
,Coffee Labels,
,Coffee Labels.doc,
,Coffees,
Koppers,Cognac Cordials.doc,e-mailed
